iter	Passed	Remaining
0	199	39759
1	204	20219
2	207	13626
3	210	10329
4	214	8362
5	219	7102
6	222	6147
7	226	5426
8	230	4883
9	231	4394
10	234	4029
11	237	3724
12	241	3471
13	247	3292
14	252	3116
15	257	2961
16	264	2844
17	269	2724
18	274	2613
19	284	2557
20	289	2468
21	294	2385
22	300	2314
23	305	2242
24	311	2180
25	317	2125
26	321	2060
27	325	1997
28	332	1960
29	336	1908
30	341	1859
31	348	1829
32	352	1782
33	356	1740
34	362	1707
35	366	1670
36	370	1630
37	373	1591
38	380	1572
39	385	1543
40	391	1517
41	431	1623
42	443	1618
43	450	1598
44	455	1569
45	462	1548
46	473	1541
47	480	1522
48	486	1499
49	495	1487
50	500	1461
51	503	1433
52	510	1415
53	515	1392
54	518	1366
55	522	1343
56	527	1324
57	531	1300
58	534	1276
59	538	1257
60	543	1238
61	546	1217
62	550	1196
63	554	1178
64	558	1160
65	562	1141
66	565	1121
67	568	1103
68	574	1090
69	578	1073
70	581	1055
71	585	1040
72	590	1027
73	594	1011
74	597	996
75	602	982
76	606	969
77	609	953
78	612	938
79	616	924
80	621	913
81	625	899
82	628	885
83	631	872
84	639	864
85	643	852
86	646	840
87	653	832
88	658	821
89	662	809
90	667	799
91	673	790
92	676	778
93	680	767
94	686	758
95	689	747
96	693	736
97	700	729
98	704	718
99	707	707
100	711	697
101	717	689
102	721	679
103	725	669
104	730	660
105	735	652
106	739	642
107	740	631
108	744	621
109	750	614
110	754	604
111	757	595
112	761	585
113	767	578
114	770	569
115	773	560
116	777	551
117	783	544
118	787	535
119	790	527
120	795	519
121	800	511
122	805	504
123	808	495
124	814	488
125	817	480
126	820	471
127	824	463
128	830	457
129	833	448
130	836	440
131	839	432
132	846	426
133	850	418
134	854	411
135	859	404
136	864	397
137	867	389
138	870	381
139	875	375
140	880	368
141	883	361
142	887	353
143	893	347
144	896	340
145	899	332
146	903	325
147	908	319
148	911	311
149	914	304
150	918	298
151	923	291
152	926	284
153	930	277
154	934	271
155	938	264
156	943	258
157	947	251
158	950	245
159	955	238
160	959	232
161	963	225
162	967	219
163	974	213
164	978	207
165	982	201
166	987	195
167	992	189
168	996	182
169	1001	176
170	1006	170
171	1011	164
172	1012	158
173	1017	152
174	1023	146
175	1026	139
176	1029	133
177	1032	127
178	1036	121
179	1039	115
180	1043	109
181	1047	103
182	1051	97
183	1055	91
184	1059	85
185	1062	79
186	1066	74
187	1071	68
188	1074	62
189	1077	56
190	1081	50
191	1085	45
192	1089	39
193	1092	33
194	1095	28
195	1100	22
196	1104	16
197	1107	11
198	1110	5
199	1115	0
